product_name,sku,category,unit_price,cost_price,current_stock,min_stock_level,description
Wireless Gaming Mouse,GAMING-GM001-462,Gaming,83.74,42.96,181,35,RGB wireless mouse with 16000 DPI sensor
Coffee Maker Deluxe,HOME-CM001-463,Home & Kitchen,163.26,90.74,64,8,Programmable 12-cup coffee maker with thermal carafe
Portable Speaker,ELEC-PS001-464,Electronics,63.6,34.86,204,30,Bluetooth speaker with 12hr battery and waterproof design
Fitness Tracker Band,ELEC-FT001-465,Electronics,87.27,38.41,157,26,"Heart rate monitor, sleep tracking, waterproof"
Office Desk Lamp,OFFICE-DL001-466,Office Supplies,51.91,22.52,191,23,LED desk lamp with adjustable brightness and USB port
Office Desk Lamp,OFFICE-DL001-467,Office Supplies,48.03,23.51,156,27,LED desk lamp with adjustable brightness and USB port
Ceramic Dinner Set,HOME-DS001-468,Home & Kitchen,84.73,43.52,108,18,"16-piece ceramic dinner set, dishwasher safe"
Air Purifier,HOME-AP001-469,Home & Kitchen,214.01,111.09,53,6,HEPA filter air purifier for medium rooms
Air Purifier,HOME-AP001-470,Home & Kitchen,184.33,109.82,49,8,HEPA filter air purifier for medium rooms
Backpack Pro,BAGS-BP001-471,Bags & Luggage,74.51,36.52,151,28,Water-resistant backpack with laptop compartment
Gaming Laptop,GAMING-GL001-472,Gaming,1621.12,1054.4,42,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Backpack Pro,BAGS-BP001-473,Bags & Luggage,79.87,33.33,225,20,Water-resistant backpack with laptop compartment
Electric Toothbrush,HEALTH-ET001-474,Health,90.28,44.16,109,23,Sonic electric toothbrush with 3 brushing modes
Wireless Gaming Mouse,GAMING-GM001-475,Gaming,83.27,44.79,247,25,RGB wireless mouse with 16000 DPI sensor
Electric Toothbrush,HEALTH-ET001-476,Health,96.34,44.79,130,19,Sonic electric toothbrush with 3 brushing modes
Smartphone X12 Pro,ELEC-PH001-477,Electronics,922.02,635.35,60,16,"Latest flagship with 6.7"" OLED display and triple camera"
Women's Winter Jacket,FASHION-WJ001-478,Fashion,138.34,64.6,72,15,Waterproof winter jacket with thermal lining
Protein Powder 2lb,HEALTH-PP001-479,Health,60.44,30.05,210,39,"Whey protein isolate, vanilla flavor, 30 servings"
Ceramic Dinner Set,HOME-DS001-480,Home & Kitchen,77.05,37.52,127,21,"16-piece ceramic dinner set, dishwasher safe"
Fitness Tracker Band,ELEC-FT001-481,Electronics,84.51,38.55,207,20,"Heart rate monitor, sleep tracking, waterproof"
Desk Organizer Set,OFFICE-DO001-482,Office Supplies,27.71,13.3,358,42,5-piece desk organizer with pen holder and tray
Coffee Maker Deluxe,HOME-CM001-483,Home & Kitchen,138.09,92.34,75,9,Programmable 12-cup coffee maker with thermal carafe
Running Shoes Pro,Sports-RS001-484,Sports & Fitness,81.19,43.23,240,34,Lightweight running shoes with cushioned soles
Running Shoes Pro,Sports-RS001-485,Sports & Fitness,88.18,45.46,200,30,Lightweight running shoes with cushioned soles
Women's Winter Jacket,FASHION-WJ001-486,Fashion,118.36,64.49,102,15,Waterproof winter jacket with thermal lining
Smartphone X12 Pro,ELEC-PH001-487,Electronics,965.82,601.72,83,14,"Latest flagship with 6.7"" OLED display and triple camera"
Fitness Tracker Band,ELEC-FT001-488,Electronics,86.18,43.42,176,23,"Heart rate monitor, sleep tracking, waterproof"
Fitness Tracker Band,ELEC-FT001-489,Electronics,73.19,43.83,236,28,"Heart rate monitor, sleep tracking, waterproof"
Wireless Bluetooth Headphones,ELEC-BT001-490,Electronics,141.09,80.4,132,21,Noise-cancelling over-ear headphones with 30hr battery
Protein Powder 2lb,HEALTH-PP001-491,Health,56.38,28.44,205,43,"Whey protein isolate, vanilla flavor, 30 servings"
Coffee Maker Deluxe,HOME-CM001-492,Home & Kitchen,156.57,81.3,67,8,Programmable 12-cup coffee maker with thermal carafe
Gaming Laptop,GAMING-GL001-493,Gaming,1596.42,1100.3,46,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Gaming Laptop,GAMING-GL001-494,Gaming,1492.18,1183.33,46,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Fitness Tracker Band,ELEC-FT001-495,Electronics,81.52,41.28,152,26,"Heart rate monitor, sleep tracking, waterproof"
Women's Winter Jacket,FASHION-WJ001-496,Fashion,126.22,64.52,88,17,Waterproof winter jacket with thermal lining
Running Shoes Pro,Sports-RS001-497,Sports & Fitness,96.59,43.36,162,31,Lightweight running shoes with cushioned soles
Office Desk Lamp,OFFICE-DL001-498,Office Supplies,51.84,21.23,134,24,LED desk lamp with adjustable brightness and USB port
Fitness Tracker Band,ELEC-FT001-499,Electronics,80.0,45.18,152,25,"Heart rate monitor, sleep tracking, waterproof"
Portable Speaker,ELEC-PS001-500,Electronics,67.04,38.33,261,31,Bluetooth speaker with 12hr battery and waterproof design
Backpack Pro,BAGS-BP001-501,Bags & Luggage,76.76,31.69,126,24,Water-resistant backpack with laptop compartment
Protein Powder 2lb,HEALTH-PP001-502,Health,65.93,30.08,314,44,"Whey protein isolate, vanilla flavor, 30 servings"
Men's Casual Shirt,FASHION-MS001-503,Fashion,41.72,17.16,422,48,"Cotton blend casual shirt, available in multiple colors"
Gaming Laptop,GAMING-GL001-504,Gaming,1635.72,1206.39,48,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Children's Building Blocks,TOYS-CB001-505,Toys,48.27,20.64,293,40,200-piece educational building blocks set
Running Shoes Pro,Sports-RS001-506,Sports & Fitness,90.15,43.92,161,30,Lightweight running shoes with cushioned soles
Yoga Mat Premium,Sports-YM001-507,Sports & Fitness,33.14,17.74,315,55,Eco-friendly non-slip yoga mat 6mm thick
Office Desk Lamp,OFFICE-DL001-508,Office Supplies,51.25,21.76,194,29,LED desk lamp with adjustable brightness and USB port
Women's Winter Jacket,FASHION-WJ001-509,Fashion,140.86,65.49,93,12,Waterproof winter jacket with thermal lining
Wireless Gaming Mouse,GAMING-GM001-510,Gaming,96.28,47.8,208,28,RGB wireless mouse with 16000 DPI sensor
Smartphone X12 Pro,ELEC-PH001-511,Electronics,1028.79,660.63,65,14,"Latest flagship with 6.7"" OLED display and triple camera"
Wireless Bluetooth Headphones,ELEC-BT001-512,Electronics,135.58,71.76,168,21,Noise-cancelling over-ear headphones with 30hr battery
Running Shoes Pro,Sports-RS001-513,Sports & Fitness,94.2,43.33,152,25,Lightweight running shoes with cushioned soles
Desk Organizer Set,OFFICE-DO001-514,Office Supplies,30.12,12.66,346,40,5-piece desk organizer with pen holder and tray
Gaming Laptop,GAMING-GL001-515,Gaming,1723.75,1179.62,39,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Children's Building Blocks,TOYS-CB001-516,Toys,54.52,22.68,323,28,200-piece educational building blocks set
Air Purifier,HOME-AP001-517,Home & Kitchen,210.11,124.77,70,8,HEPA filter air purifier for medium rooms
Yoga Mat Premium,Sports-YM001-518,Sports & Fitness,34.63,18.56,303,59,Eco-friendly non-slip yoga mat 6mm thick
Backpack Pro,BAGS-BP001-519,Bags & Luggage,83.15,37.85,127,21,Water-resistant backpack with laptop compartment
Office Desk Lamp,OFFICE-DL001-520,Office Supplies,45.33,23.92,138,22,LED desk lamp with adjustable brightness and USB port
Running Shoes Pro,Sports-RS001-521,Sports & Fitness,93.54,47.35,221,28,Lightweight running shoes with cushioned soles
Gaming Laptop,GAMING-GL001-522,Gaming,1456.04,1059.73,49,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Coffee Maker Deluxe,HOME-CM001-523,Home & Kitchen,148.13,78.95,62,9,Programmable 12-cup coffee maker with thermal carafe
Children's Building Blocks,TOYS-CB001-524,Toys,47.05,23.41,215,39,200-piece educational building blocks set
Coffee Maker Deluxe,HOME-CM001-525,Home & Kitchen,153.46,86.92,60,8,Programmable 12-cup coffee maker with thermal carafe
Portable Speaker,ELEC-PS001-526,Electronics,66.64,33.95,177,35,Bluetooth speaker with 12hr battery and waterproof design
Running Shoes Pro,Sports-RS001-527,Sports & Fitness,84.14,45.86,253,31,Lightweight running shoes with cushioned soles
Electric Toothbrush,HEALTH-ET001-528,Health,94.41,46.56,112,19,Sonic electric toothbrush with 3 brushing modes
Women's Winter Jacket,FASHION-WJ001-529,Fashion,131.77,68.64,75,12,Waterproof winter jacket with thermal lining
Children's Building Blocks,TOYS-CB001-530,Toys,53.45,20.98,349,37,200-piece educational building blocks set
Electric Toothbrush,HEALTH-ET001-531,Health,91.29,49.22,161,17,Sonic electric toothbrush with 3 brushing modes
Wireless Bluetooth Headphones,ELEC-BT001-532,Electronics,117.96,80.11,171,29,Noise-cancelling over-ear headphones with 30hr battery
Electric Toothbrush,HEALTH-ET001-533,Health,87.71,51.41,130,21,Sonic electric toothbrush with 3 brushing modes
Women's Winter Jacket,FASHION-WJ001-534,Fashion,117.11,67.97,97,12,Waterproof winter jacket with thermal lining
Ceramic Dinner Set,HOME-DS001-535,Home & Kitchen,73.94,41.06,106,19,"16-piece ceramic dinner set, dishwasher safe"
Fitness Tracker Band,ELEC-FT001-536,Electronics,82.69,38.58,205,22,"Heart rate monitor, sleep tracking, waterproof"
Portable Speaker,ELEC-PS001-537,Electronics,64.52,38.14,235,34,Bluetooth speaker with 12hr battery and waterproof design
Portable Speaker,ELEC-PS001-538,Electronics,72.53,31.94,200,33,Bluetooth speaker with 12hr battery and waterproof design
Wireless Bluetooth Headphones,ELEC-BT001-539,Electronics,117.07,78.86,143,29,Noise-cancelling over-ear headphones with 30hr battery
Children's Building Blocks,TOYS-CB001-540,Toys,52.27,23.42,309,39,200-piece educational building blocks set
Electric Toothbrush,HEALTH-ET001-541,Health,98.79,44.37,123,18,Sonic electric toothbrush with 3 brushing modes
Wireless Gaming Mouse,GAMING-GM001-542,Gaming,90.96,44.85,203,27,RGB wireless mouse with 16000 DPI sensor
Desk Organizer Set,OFFICE-DO001-543,Office Supplies,29.21,14.03,246,35,5-piece desk organizer with pen holder and tray
Digital Kitchen Scale,HOME-KS001-544,Home & Kitchen,26.74,11.46,380,49,Precision digital scale with LCD display
Backpack Pro,BAGS-BP001-545,Bags & Luggage,74.34,34.86,169,29,Water-resistant backpack with laptop compartment
Air Purifier,HOME-AP001-546,Home & Kitchen,190.44,130.68,68,7,HEPA filter air purifier for medium rooms
Air Purifier,HOME-AP001-547,Home & Kitchen,210.5,120.23,62,8,HEPA filter air purifier for medium rooms
Fitness Tracker Band,ELEC-FT001-548,Electronics,81.58,45.82,229,24,"Heart rate monitor, sleep tracking, waterproof"
Digital Kitchen Scale,HOME-KS001-549,Home & Kitchen,25.16,9.97,517,54,Precision digital scale with LCD display
Yoga Mat Premium,Sports-YM001-550,Sports & Fitness,36.31,19.76,237,57,Eco-friendly non-slip yoga mat 6mm thick
Desk Organizer Set,OFFICE-DO001-551,Office Supplies,27.75,14.32,239,45,5-piece desk organizer with pen holder and tray
Smartphone X12 Pro,ELEC-PH001-552,Electronics,943.61,647.11,80,13,"Latest flagship with 6.7"" OLED display and triple camera"
Ceramic Dinner Set,HOME-DS001-553,Home & Kitchen,83.66,39.38,116,23,"16-piece ceramic dinner set, dishwasher safe"
Men's Casual Shirt,FASHION-MS001-554,Fashion,36.18,19.48,385,54,"Cotton blend casual shirt, available in multiple colors"
Electric Toothbrush,HEALTH-ET001-555,Health,86.79,46.14,114,19,Sonic electric toothbrush with 3 brushing modes
Wireless Bluetooth Headphones,ELEC-BT001-556,Electronics,127.08,71.43,173,22,Noise-cancelling over-ear headphones with 30hr battery
Digital Kitchen Scale,HOME-KS001-557,Home & Kitchen,24.71,11.85,322,60,Precision digital scale with LCD display
Coffee Maker Deluxe,HOME-CM001-558,Home & Kitchen,153.84,79.5,49,10,Programmable 12-cup coffee maker with thermal carafe
Portable Speaker,ELEC-PS001-559,Electronics,76.03,37.97,178,24,Bluetooth speaker with 12hr battery and waterproof design
Air Purifier,HOME-AP001-560,Home & Kitchen,211.79,122.88,65,9,HEPA filter air purifier for medium rooms
Ceramic Dinner Set,HOME-DS001-561,Home & Kitchen,83.24,38.87,139,17,"16-piece ceramic dinner set, dishwasher safe"
Running Shoes Pro,Sports-RS001-562,Sports & Fitness,83.75,47.18,241,31,Lightweight running shoes with cushioned soles
Digital Kitchen Scale,HOME-KS001-563,Home & Kitchen,25.75,9.97,429,53,Precision digital scale with LCD display
Digital Kitchen Scale,HOME-KS001-564,Home & Kitchen,27.41,11.78,280,51,Precision digital scale with LCD display
Protein Powder 2lb,HEALTH-PP001-565,Health,55.45,29.76,250,33,"Whey protein isolate, vanilla flavor, 30 servings"
Smartphone X12 Pro,ELEC-PH001-566,Electronics,1018.9,710.75,62,17,"Latest flagship with 6.7"" OLED display and triple camera"
Coffee Maker Deluxe,HOME-CM001-567,Home & Kitchen,142.04,88.76,57,8,Programmable 12-cup coffee maker with thermal carafe
Coffee Maker Deluxe,HOME-CM001-568,Home & Kitchen,152.17,84.7,77,11,Programmable 12-cup coffee maker with thermal carafe
Wireless Gaming Mouse,GAMING-GM001-569,Gaming,83.63,48.99,156,26,RGB wireless mouse with 16000 DPI sensor
Gaming Laptop,GAMING-GL001-570,Gaming,1553.73,1147.36,43,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Protein Powder 2lb,HEALTH-PP001-571,Health,55.47,27.71,305,41,"Whey protein isolate, vanilla flavor, 30 servings"
Gaming Laptop,GAMING-GL001-572,Gaming,1492.4,1078.92,30,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Women's Winter Jacket,FASHION-WJ001-573,Fashion,142.35,63.54,81,15,Waterproof winter jacket with thermal lining
Gaming Laptop,GAMING-GL001-574,Gaming,1645.94,1066.78,37,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Protein Powder 2lb,HEALTH-PP001-575,Health,56.94,26.61,194,40,"Whey protein isolate, vanilla flavor, 30 servings"
Wireless Gaming Mouse,GAMING-GM001-576,Gaming,88.38,46.89,172,30,RGB wireless mouse with 16000 DPI sensor
Coffee Maker Deluxe,HOME-CM001-577,Home & Kitchen,144.29,82.81,49,8,Programmable 12-cup coffee maker with thermal carafe
Portable Speaker,ELEC-PS001-578,Electronics,67.8,36.21,172,27,Bluetooth speaker with 12hr battery and waterproof design
Office Desk Lamp,OFFICE-DL001-579,Office Supplies,48.55,20.97,207,29,LED desk lamp with adjustable brightness and USB port
Desk Organizer Set,OFFICE-DO001-580,Office Supplies,28.08,14.52,254,46,5-piece desk organizer with pen holder and tray
Digital Kitchen Scale,HOME-KS001-581,Home & Kitchen,24.29,10.37,431,66,Precision digital scale with LCD display
Women's Winter Jacket,FASHION-WJ001-582,Fashion,135.93,66.11,82,14,Waterproof winter jacket with thermal lining
Running Shoes Pro,Sports-RS001-583,Sports & Fitness,94.27,45.5,255,29,Lightweight running shoes with cushioned soles
Smartphone X12 Pro,ELEC-PH001-584,Electronics,910.14,598.78,75,12,"Latest flagship with 6.7"" OLED display and triple camera"
Desk Organizer Set,OFFICE-DO001-585,Office Supplies,31.06,14.19,357,32,5-piece desk organizer with pen holder and tray
Men's Casual Shirt,FASHION-MS001-586,Fashion,43.0,19.02,350,51,"Cotton blend casual shirt, available in multiple colors"
Protein Powder 2lb,HEALTH-PP001-587,Health,62.8,26.44,196,36,"Whey protein isolate, vanilla flavor, 30 servings"
Ceramic Dinner Set,HOME-DS001-588,Home & Kitchen,76.47,37.06,133,22,"16-piece ceramic dinner set, dishwasher safe"
Digital Kitchen Scale,HOME-KS001-589,Home & Kitchen,26.55,11.3,506,63,Precision digital scale with LCD display
Digital Kitchen Scale,HOME-KS001-590,Home & Kitchen,26.74,10.16,433,52,Precision digital scale with LCD display
Backpack Pro,BAGS-BP001-591,Bags & Luggage,73.05,33.96,194,26,Water-resistant backpack with laptop compartment
Smartphone X12 Pro,ELEC-PH001-592,Electronics,921.97,690.5,62,14,"Latest flagship with 6.7"" OLED display and triple camera"
Smartphone X12 Pro,ELEC-PH001-593,Electronics,922.44,607.88,81,14,"Latest flagship with 6.7"" OLED display and triple camera"
Desk Organizer Set,OFFICE-DO001-594,Office Supplies,29.95,14.21,384,47,5-piece desk organizer with pen holder and tray
Fitness Tracker Band,ELEC-FT001-595,Electronics,80.27,42.19,167,21,"Heart rate monitor, sleep tracking, waterproof"
Women's Winter Jacket,FASHION-WJ001-596,Fashion,128.02,60.68,66,17,Waterproof winter jacket with thermal lining
Men's Casual Shirt,FASHION-MS001-597,Fashion,41.47,17.62,291,55,"Cotton blend casual shirt, available in multiple colors"
Backpack Pro,BAGS-BP001-598,Bags & Luggage,79.97,32.86,202,23,Water-resistant backpack with laptop compartment
Fitness Tracker Band,ELEC-FT001-599,Electronics,78.91,40.1,195,20,"Heart rate monitor, sleep tracking, waterproof"
Digital Kitchen Scale,HOME-KS001-600,Home & Kitchen,23.5,10.7,390,62,Precision digital scale with LCD display
Yoga Mat Premium,Sports-YM001-601,Sports & Fitness,37.37,19.18,243,45,Eco-friendly non-slip yoga mat 6mm thick
Coffee Maker Deluxe,HOME-CM001-602,Home & Kitchen,161.54,85.45,47,8,Programmable 12-cup coffee maker with thermal carafe
Wireless Gaming Mouse,GAMING-GM001-603,Gaming,85.56,42.16,183,31,RGB wireless mouse with 16000 DPI sensor
Protein Powder 2lb,HEALTH-PP001-604,Health,65.08,25.99,317,44,"Whey protein isolate, vanilla flavor, 30 servings"
Yoga Mat Premium,Sports-YM001-605,Sports & Fitness,34.23,18.55,380,54,Eco-friendly non-slip yoga mat 6mm thick
Fitness Tracker Band,ELEC-FT001-606,Electronics,77.62,42.92,142,27,"Heart rate monitor, sleep tracking, waterproof"
Running Shoes Pro,Sports-RS001-607,Sports & Fitness,89.19,42.5,168,34,Lightweight running shoes with cushioned soles
Fitness Tracker Band,ELEC-FT001-608,Electronics,81.45,45.58,158,28,"Heart rate monitor, sleep tracking, waterproof"
Children's Building Blocks,TOYS-CB001-609,Toys,50.73,22.29,315,30,200-piece educational building blocks set
Smartphone X12 Pro,ELEC-PH001-610,Electronics,993.54,704.44,71,17,"Latest flagship with 6.7"" OLED display and triple camera"
Electric Toothbrush,HEALTH-ET001-611,Health,93.96,52.55,107,22,Sonic electric toothbrush with 3 brushing modes
Women's Winter Jacket,FASHION-WJ001-612,Fashion,129.0,64.88,86,16,Waterproof winter jacket with thermal lining
Protein Powder 2lb,HEALTH-PP001-613,Health,55.13,28.62,264,34,"Whey protein isolate, vanilla flavor, 30 servings"
Running Shoes Pro,Sports-RS001-614,Sports & Fitness,82.91,42.49,170,29,Lightweight running shoes with cushioned soles
Air Purifier,HOME-AP001-615,Home & Kitchen,217.13,122.96,65,6,HEPA filter air purifier for medium rooms
Coffee Maker Deluxe,HOME-CM001-616,Home & Kitchen,148.15,79.96,70,11,Programmable 12-cup coffee maker with thermal carafe
Wireless Gaming Mouse,GAMING-GM001-617,Gaming,85.12,48.7,269,26,RGB wireless mouse with 16000 DPI sensor
Desk Organizer Set,OFFICE-DO001-618,Office Supplies,32.28,13.28,296,34,5-piece desk organizer with pen holder and tray
Men's Casual Shirt,FASHION-MS001-619,Fashion,42.87,17.15,373,49,"Cotton blend casual shirt, available in multiple colors"
Smartphone X12 Pro,ELEC-PH001-620,Electronics,986.95,638.4,90,16,"Latest flagship with 6.7"" OLED display and triple camera"
Ceramic Dinner Set,HOME-DS001-621,Home & Kitchen,85.92,41.01,137,21,"16-piece ceramic dinner set, dishwasher safe"
Coffee Maker Deluxe,HOME-CM001-622,Home & Kitchen,152.18,84.46,62,10,Programmable 12-cup coffee maker with thermal carafe
Smartphone X12 Pro,ELEC-PH001-623,Electronics,981.43,596.4,91,16,"Latest flagship with 6.7"" OLED display and triple camera"
Backpack Pro,BAGS-BP001-624,Bags & Luggage,75.09,37.56,217,26,Water-resistant backpack with laptop compartment
Backpack Pro,BAGS-BP001-625,Bags & Luggage,78.52,37.81,161,24,Water-resistant backpack with laptop compartment
Wireless Gaming Mouse,GAMING-GM001-626,Gaming,85.51,49.41,202,31,RGB wireless mouse with 16000 DPI sensor
Wireless Bluetooth Headphones,ELEC-BT001-627,Electronics,137.76,72.97,171,27,Noise-cancelling over-ear headphones with 30hr battery
Men's Casual Shirt,FASHION-MS001-628,Fashion,41.14,17.39,304,46,"Cotton blend casual shirt, available in multiple colors"
Wireless Bluetooth Headphones,ELEC-BT001-629,Electronics,127.58,78.11,136,20,Noise-cancelling over-ear headphones with 30hr battery
Children's Building Blocks,TOYS-CB001-630,Toys,45.78,22.64,233,33,200-piece educational building blocks set
Electric Toothbrush,HEALTH-ET001-631,Health,90.31,48.75,122,19,Sonic electric toothbrush with 3 brushing modes
Electric Toothbrush,HEALTH-ET001-632,Health,89.8,47.44,163,20,Sonic electric toothbrush with 3 brushing modes
Digital Kitchen Scale,HOME-KS001-633,Home & Kitchen,25.32,10.84,378,59,Precision digital scale with LCD display
Desk Organizer Set,OFFICE-DO001-634,Office Supplies,30.95,13.51,354,33,5-piece desk organizer with pen holder and tray
Air Purifier,HOME-AP001-635,Home & Kitchen,213.19,115.77,53,8,HEPA filter air purifier for medium rooms
Digital Kitchen Scale,HOME-KS001-636,Home & Kitchen,25.69,10.28,295,54,Precision digital scale with LCD display
Wireless Bluetooth Headphones,ELEC-BT001-637,Electronics,127.03,79.92,143,28,Noise-cancelling over-ear headphones with 30hr battery
Ceramic Dinner Set,HOME-DS001-638,Home & Kitchen,77.66,39.49,113,20,"16-piece ceramic dinner set, dishwasher safe"
Ceramic Dinner Set,HOME-DS001-639,Home & Kitchen,78.4,43.23,106,20,"16-piece ceramic dinner set, dishwasher safe"
Men's Casual Shirt,FASHION-MS001-640,Fashion,37.06,16.81,440,53,"Cotton blend casual shirt, available in multiple colors"
Portable Speaker,ELEC-PS001-641,Electronics,65.52,35.49,254,24,Bluetooth speaker with 12hr battery and waterproof design
Office Desk Lamp,OFFICE-DL001-642,Office Supplies,51.9,21.8,159,26,LED desk lamp with adjustable brightness and USB port
Wireless Bluetooth Headphones,ELEC-BT001-643,Electronics,133.03,70.94,110,20,Noise-cancelling over-ear headphones with 30hr battery
Children's Building Blocks,TOYS-CB001-644,Toys,54.97,22.48,243,41,200-piece educational building blocks set
Smartphone X12 Pro,ELEC-PH001-645,Electronics,981.66,615.04,108,15,"Latest flagship with 6.7"" OLED display and triple camera"
Digital Kitchen Scale,HOME-KS001-646,Home & Kitchen,23.41,10.92,407,67,Precision digital scale with LCD display
Backpack Pro,BAGS-BP001-647,Bags & Luggage,77.57,38.24,140,22,Water-resistant backpack with laptop compartment
Coffee Maker Deluxe,HOME-CM001-648,Home & Kitchen,138.34,85.96,45,10,Programmable 12-cup coffee maker with thermal carafe
Backpack Pro,BAGS-BP001-649,Bags & Luggage,77.73,37.58,169,29,Water-resistant backpack with laptop compartment
Running Shoes Pro,Sports-RS001-650,Sports & Fitness,83.2,44.5,250,35,Lightweight running shoes with cushioned soles
Ceramic Dinner Set,HOME-DS001-651,Home & Kitchen,76.29,39.77,111,23,"16-piece ceramic dinner set, dishwasher safe"
Fitness Tracker Band,ELEC-FT001-652,Electronics,83.97,39.18,181,25,"Heart rate monitor, sleep tracking, waterproof"
Smartphone X12 Pro,ELEC-PH001-653,Electronics,921.89,684.39,108,14,"Latest flagship with 6.7"" OLED display and triple camera"
Air Purifier,HOME-AP001-654,Home & Kitchen,219.87,109.09,41,8,HEPA filter air purifier for medium rooms
Yoga Mat Premium,Sports-YM001-655,Sports & Fitness,36.87,19.75,228,44,Eco-friendly non-slip yoga mat 6mm thick
Protein Powder 2lb,HEALTH-PP001-656,Health,62.51,26.29,207,41,"Whey protein isolate, vanilla flavor, 30 servings"
Protein Powder 2lb,HEALTH-PP001-657,Health,60.73,30.22,197,32,"Whey protein isolate, vanilla flavor, 30 servings"
Digital Kitchen Scale,HOME-KS001-658,Home & Kitchen,22.94,11.68,332,53,Precision digital scale with LCD display
Yoga Mat Premium,Sports-YM001-659,Sports & Fitness,34.17,17.5,294,40,Eco-friendly non-slip yoga mat 6mm thick
Digital Kitchen Scale,HOME-KS001-660,Home & Kitchen,22.57,10.87,360,61,Precision digital scale with LCD display
Fitness Tracker Band,ELEC-FT001-661,Electronics,78.43,41.58,192,27,"Heart rate monitor, sleep tracking, waterproof"
Coffee Maker Deluxe,HOME-CM001-662,Home & Kitchen,163.42,86.07,62,10,Programmable 12-cup coffee maker with thermal carafe
Portable Speaker,ELEC-PS001-663,Electronics,65.63,36.12,235,30,Bluetooth speaker with 12hr battery and waterproof design
Desk Organizer Set,OFFICE-DO001-664,Office Supplies,30.61,14.74,231,42,5-piece desk organizer with pen holder and tray
Children's Building Blocks,TOYS-CB001-665,Toys,51.91,22.4,259,30,200-piece educational building blocks set
Running Shoes Pro,Sports-RS001-666,Sports & Fitness,94.4,41.75,151,34,Lightweight running shoes with cushioned soles
Backpack Pro,BAGS-BP001-667,Bags & Luggage,83.48,38.16,227,22,Water-resistant backpack with laptop compartment
Smartphone X12 Pro,ELEC-PH001-668,Electronics,1084.16,604.77,94,15,"Latest flagship with 6.7"" OLED display and triple camera"
Fitness Tracker Band,ELEC-FT001-669,Electronics,86.75,38.81,136,25,"Heart rate monitor, sleep tracking, waterproof"
Protein Powder 2lb,HEALTH-PP001-670,Health,65.31,26.74,235,37,"Whey protein isolate, vanilla flavor, 30 servings"
Children's Building Blocks,TOYS-CB001-671,Toys,50.88,19.91,263,36,200-piece educational building blocks set
Wireless Bluetooth Headphones,ELEC-BT001-672,Electronics,136.73,82.71,173,24,Noise-cancelling over-ear headphones with 30hr battery
Women's Winter Jacket,FASHION-WJ001-673,Fashion,129.78,59.32,102,15,Waterproof winter jacket with thermal lining
Ceramic Dinner Set,HOME-DS001-674,Home & Kitchen,81.24,43.12,120,18,"16-piece ceramic dinner set, dishwasher safe"
Portable Speaker,ELEC-PS001-675,Electronics,69.64,34.92,220,33,Bluetooth speaker with 12hr battery and waterproof design
Wireless Gaming Mouse,GAMING-GM001-676,Gaming,91.0,43.7,215,34,RGB wireless mouse with 16000 DPI sensor
Children's Building Blocks,TOYS-CB001-677,Toys,46.8,23.32,317,35,200-piece educational building blocks set
Women's Winter Jacket,FASHION-WJ001-678,Fashion,121.47,70.25,114,13,Waterproof winter jacket with thermal lining
Yoga Mat Premium,Sports-YM001-679,Sports & Fitness,34.35,17.75,384,49,Eco-friendly non-slip yoga mat 6mm thick
Fitness Tracker Band,ELEC-FT001-680,Electronics,82.45,44.0,228,22,"Heart rate monitor, sleep tracking, waterproof"
Digital Kitchen Scale,HOME-KS001-681,Home & Kitchen,23.4,10.18,349,54,Precision digital scale with LCD display
Smartphone X12 Pro,ELEC-PH001-682,Electronics,939.84,629.46,97,17,"Latest flagship with 6.7"" OLED display and triple camera"
Women's Winter Jacket,FASHION-WJ001-683,Fashion,135.5,67.85,81,15,Waterproof winter jacket with thermal lining
Smartphone X12 Pro,ELEC-PH001-684,Electronics,965.85,695.32,72,15,"Latest flagship with 6.7"" OLED display and triple camera"
Office Desk Lamp,OFFICE-DL001-685,Office Supplies,52.78,22.25,141,28,LED desk lamp with adjustable brightness and USB port
Children's Building Blocks,TOYS-CB001-686,Toys,53.44,22.43,251,28,200-piece educational building blocks set
Digital Kitchen Scale,HOME-KS001-687,Home & Kitchen,23.68,12.02,381,69,Precision digital scale with LCD display
Protein Powder 2lb,HEALTH-PP001-688,Health,64.63,30.16,308,42,"Whey protein isolate, vanilla flavor, 30 servings"
Backpack Pro,BAGS-BP001-689,Bags & Luggage,84.89,38.1,222,22,Water-resistant backpack with laptop compartment
Backpack Pro,BAGS-BP001-690,Bags & Luggage,74.47,32.38,154,24,Water-resistant backpack with laptop compartment
Children's Building Blocks,TOYS-CB001-691,Toys,51.83,23.24,323,35,200-piece educational building blocks set
